date,urate,year,month
4/1/76,7.7,1976,4
5/1/76,7.4,1976,5
6/1/76,7.6,1976,6
7/1/76,7.8,1976,7
8/1/76,7.8,1976,8
9/1/76,7.6,1976,9
10/1/76,7.7,1976,10
11/1/76,7.8,1976,11
12/1/76,7.8,1976,12
1/1/77,7.5,1977,1
2/1/77,7.6,1977,2
3/1/77,7.4,1977,3
4/1/77,7.2,1977,4
5/1/77,7,1977,5
6/1/77,7.2,1977,6
7/1/77,6.9,1977,7
8/1/77,7,1977,8
9/1/77,6.8,1977,9
10/1/77,6.8,1977,10
11/1/77,6.8,1977,11
12/1/77,6.4,1977,12
1/1/78,6.4,1978,1
2/1/78,6.3,1978,2
3/1/78,6.3,1978,3
4/1/78,6.1,1978,4
5/1/78,6,1978,5
6/1/78,5.9,1978,6
7/1/78,6.2,1978,7
8/1/78,5.9,1978,8
9/1/78,6,1978,9
10/1/78,5.8,1978,10
11/1/78,5.9,1978,11
12/1/78,6,1978,12
1/1/79,5.9,1979,1
2/1/79,5.9,1979,2
3/1/79,5.8,1979,3
4/1/79,5.8,1979,4
5/1/79,5.6,1979,5
6/1/79,5.7,1979,6
7/1/79,5.7,1979,7
8/1/79,6,1979,8
9/1/79,5.9,1979,9
10/1/79,6,1979,10
11/1/79,5.9,1979,11
12/1/79,6,1979,12
1/1/80,6.3,1980,1
2/1/80,6.3,1980,2
3/1/80,6.3,1980,3
4/1/80,6.9,1980,4
5/1/80,7.5,1980,5
6/1/80,7.6,1980,6
7/1/80,7.8,1980,7
8/1/80,7.7,1980,8
9/1/80,7.5,1980,9
10/1/80,7.5,1980,10
11/1/80,7.5,1980,11
12/1/80,7.2,1980,12
1/1/81,7.5,1981,1
2/1/81,7.4,1981,2
3/1/81,7.4,1981,3
4/1/81,7.2,1981,4
5/1/81,7.5,1981,5
6/1/81,7.5,1981,6
7/1/81,7.2,1981,7
8/1/81,7.4,1981,8
9/1/81,7.6,1981,9
10/1/81,7.9,1981,10
11/1/81,8.3,1981,11
12/1/81,8.5,1981,12
1/1/82,8.6,1982,1
2/1/82,8.9,1982,2
3/1/82,9,1982,3
4/1/82,9.3,1982,4
5/1/82,9.4,1982,5
6/1/82,9.6,1982,6
7/1/82,9.8,1982,7
8/1/82,9.8,1982,8
9/1/82,10.1,1982,9
10/1/82,10.4,1982,10
11/1/82,10.8,1982,11
12/1/82,10.8,1982,12
1/1/83,10.4,1983,1
2/1/83,10.4,1983,2
3/1/83,10.3,1983,3
4/1/83,10.2,1983,4
5/1/83,10.1,1983,5
6/1/83,10.1,1983,6
7/1/83,9.4,1983,7
8/1/83,9.5,1983,8
9/1/83,9.2,1983,9
10/1/83,8.8,1983,10
11/1/83,8.5,1983,11
12/1/83,8.3,1983,12
1/1/84,8,1984,1
2/1/84,7.8,1984,2
3/1/84,7.8,1984,3
4/1/84,7.7,1984,4
5/1/84,7.4,1984,5
6/1/84,7.2,1984,6
7/1/84,7.5,1984,7
8/1/84,7.5,1984,8
9/1/84,7.3,1984,9
10/1/84,7.4,1984,10
11/1/84,7.2,1984,11
12/1/84,7.3,1984,12
1/1/85,7.3,1985,1
2/1/85,7.2,1985,2
3/1/85,7.2,1985,3
4/1/85,7.3,1985,4
5/1/85,7.2,1985,5
6/1/85,7.4,1985,6
7/1/85,7.4,1985,7
8/1/85,7.1,1985,8
9/1/85,7.1,1985,9
10/1/85,7.1,1985,10
11/1/85,7,1985,11
12/1/85,7,1985,12
1/1/86,6.7,1986,1
2/1/86,7.2,1986,2
3/1/86,7.2,1986,3
4/1/86,7.1,1986,4
5/1/86,7.2,1986,5
6/1/86,7.2,1986,6
7/1/86,7,1986,7
8/1/86,6.9,1986,8
9/1/86,7,1986,9
10/1/86,7,1986,10
11/1/86,6.9,1986,11
12/1/86,6.6,1986,12
1/1/87,6.6,1987,1
2/1/87,6.6,1987,2
3/1/87,6.6,1987,3
4/1/87,6.3,1987,4
5/1/87,6.3,1987,5
6/1/87,6.2,1987,6
7/1/87,6.1,1987,7
8/1/87,6,1987,8
9/1/87,5.9,1987,9
10/1/87,6,1987,10
11/1/87,5.8,1987,11
12/1/87,5.7,1987,12
1/1/88,5.7,1988,1
2/1/88,5.7,1988,2
3/1/88,5.7,1988,3
4/1/88,5.4,1988,4
5/1/88,5.6,1988,5
6/1/88,5.4,1988,6
7/1/88,5.4,1988,7
8/1/88,5.6,1988,8
9/1/88,5.4,1988,9
10/1/88,5.4,1988,10
11/1/88,5.3,1988,11
12/1/88,5.3,1988,12
1/1/89,5.4,1989,1
2/1/89,5.2,1989,2
3/1/89,5,1989,3
4/1/89,5.2,1989,4
5/1/89,5.2,1989,5
